Time (s),R,G,B
0,88.0,99.0,70.0
1,144.0,92.0,22.0
2,103.0,120.0,35.0
3,111.0,117.0,30.0
4,113.0,123.0,22.0
5,97.0,92.0,70.0
6,93.0,107.0,58.0
7,96.0,125.0,36.0
8,138.0,80.0,40.0
9,146.0,99.0,13.0
10,66.0,130.0,62.0
11,47.0,71.0,140.0
12,101.0,76.0,81.0
13,101.0,61.0,96.0
14,230.0,18.0,11.0
15,105.0,123.0,30.0
16,88.0,81.0,88.0
17,109.0,124.0,25.0
18,107.0,82.0,70.0
19,155.0,40.0,63.0
20,128.0,109.0,21.0
21,75.0,95.0,88.0
22,91.0,69.0,98.0
23,118.0,113.0,27.0
24,130.0,83.0,45.0
25,103.0,86.0,70.0
26,70.0,60.0,127.0
27,94.0,106.0,58.0
28,155.0,90.0,13.0
29,106.0,79.0,72.0
30,123.0,91.0,44.0
31,98.0,53.0,107.0
32,164.0,79.0,15.0
33,80.0,121.0,57.0
34,87.0,113.0,58.0
35,86.0,85.0,88.0
36,123.0,76.0,59.0
37,237.0,12.0,9.0
38,79.0,81.0,97.0
39,71.0,85.0,102.0
40,90.0,97.0,71.0
41,80.0,74.0,104.0
42,122.0,87.0,49.0
43,80.0,90.0,88.0
44,177.0,29.0,52.0
45,56.0,85.0,117.0
46,107.0,75.0,76.0
47,66.0,94.0,98.0
48,75.0,85.0,98.0
49,133.0,112.0,13.0
50,85.0,111.0,62.0
51,50.0,69.0,139.0
52,93.0,89.0,76.0
53,110.0,71.0,77.0
54,120.0,74.0,64.0
55,83.0,103.0,72.0
56,92.0,82.0,84.0
57,86.0,123.0,49.0
58,74.0,103.0,81.0
59,68.0,84.0,106.0
60,112.0,93.0,53.0
61,101.0,105.0,52.0
62,75.0,71.0,113.0
63,127.0,96.0,36.0
64,88.0,110.0,60.0
65,98.0,127.0,33.0
66,113.0,131.0,13.0
67,100.0,102.0,56.0
68,84.0,73.0,101.0
69,186.0,55.0,16.0
70,92.0,71.0,95.0
71,107.0,99.0,52.0
72,99.0,103.0,56.0
73,101.0,106.0,51.0
74,98.0,100.0,61.0
75,104.0,76.0,77.0
76,104.0,96.0,58.0
77,68.0,157.0,33.0
78,51.0,78.0,129.0
79,96.0,112.0,50.0
80,142.0,78.0,38.0
81,98.0,91.0,69.0
82,79.0,72.0,108.0
83,109.0,76.0,72.0
84,119.0,106.0,33.0
85,126.0,58.0,74.0
86,121.0,106.0,31.0
87,101.0,92.0,66.0
88,128.0,116.0,14.0
89,83.0,85.0,90.0
90,75.0,110.0,72.0
91,104.0,87.0,67.0
92,111.0,112.0,35.0
93,99.0,78.0,81.0
94,103.0,128.0,27.0
95,91.0,90.0,77.0
96,73.0,114.0,71.0
97,117.0,80.0,60.0
98,57.0,53.0,148.0
99,239.0,11.0,8.0
100,102.0,135.0,21.0
101,107.0,130.0,21.0
102,92.0,128.0,38.0
103,108.0,78.0,73.0
104,117.0,85.0,56.0
105,117.0,82.0,59.0
106,94.0,74.0,90.0
107,107.0,111.0,40.0
108,124.0,67.0,67.0
109,83.0,115.0,60.0
110,122.0,94.0,43.0
111,111.0,115.0,32.0
112,103.0,74.0,82.0
113,119.0,107.0,33.0
114,98.0,91.0,69.0
115,111.0,118.0,29.0
116,66.0,52.0,140.0
117,79.0,67.0,113.0
118,113.0,64.0,81.0
119,134.0,82.0,42.0
120,71.0,104.0,83.0
121,62.0,122.0,74.0
122,109.0,112.0,36.0
123,67.0,72.0,119.0
124,96.0,102.0,60.0
125,95.0,88.0,75.0
126,77.0,68.0,113.0
127,114.0,69.0,74.0
128,78.0,130.0,50.0
129,108.0,97.0,53.0
130,98.0,111.0,48.0
131,105.0,129.0,24.0
132,111.0,106.0,41.0
133,85.0,78.0,96.0
134,224.0,16.0,18.0
135,78.0,86.0,94.0
136,71.0,96.0,91.0
137,93.0,80.0,85.0
138,98.0,57.0,103.0
139,108.0,72.0,78.0
140,84.0,125.0,48.0
141,98.0,97.0,63.0
142,106.0,82.0,70.0
143,121.0,76.0,60.0
144,124.0,115.0,20.0
145,102.0,69.0,86.0
146,229.0,17.0,11.0
